BASIC INFORMATION / INFORMATIONS DE BASE						
"Let's begin with some basic questions about your language! Please read the question in the column ""QUESTION"" and provide your answer in the column labeled ""Your Answer""
Commençons par quelques questions de base au sujet de votre langue ! Veuillez lire les questions figurant dans la colonne « QUESTION » et y répondre dans la colonne intitulée « Votre réponse »"						
QUESTION	French	YOUR ANSWER	Visual Example	NOTES BY TRANSLATOR (IF NECESSARY)		
First, what is the name of your language in your language. For example, the name of the language "German" in German is "Deutsch". Meanwhile, the name for "Thai" in Thai is "ไทย". What is the name if your language in your own language?	Tout d’abord, quel est le nom votre langue dans votre propre langue ? Par exemple, le nom de la langue « German » en allemand est « Deutsch ». De même, le nom de « Thai » en thaï est « ไทย ». Quel nom désigne donc votre langue dans votre propre langue ?	The name of “Abron” in Abron language is “Bono”				
Now, what is the name of your language in English? For example, the name for "Deutsch" in English is "German". The name for "" in English is "Chinese". What is the name of your language in English?	Quel est le nom de votre langue en anglais ? Par exemple, en anglais le nom « Deutsch » est rendu par « German » et le nom « 中文 » par « Chinese ». Quel est donc le nom de votre langue en anglais ?	The name of “Bono” in English is “Abron”				
Let's say you are giving a review for an online class, a product, or a restaurant. In English you might give "4.7" (a score in between 4 and 5, that is). In your language, do you use the decimal point (.) to separate the numbers "4" and "7"? If not, what do you use? A comma (,)? An apostophe (')? Something else? Please provide your translation of "4.7" in the column marked "YOUR ANSWER".	Supposons que vous laissiez un avis pour un cours en ligne, un produit ou un restaurant. En anglais, vous pourriez donner la note « 4.7 » (pour indiquer un score compris entre 4 et 5). Dans votre langue, utilisez-vous le point (.) comme séparateur entre les chiffres « 4 » et « 7 » ? Sinon, qu’utilisez-vous ? Une virgule (,) ? Une apostrophe (') ? Autre chose ? Veuillez indiquer votre traduction de « 4.7 » dans la colonne marquée « YOUR ANSWER ».	Yes, we use decimals point to seperate numbers.  The translation for 4.7 is 4.7, or in words is "ɛnan akyiripɔ nson",		Numbers are generally not written out in text.		
DATE WORDS / TERMINOLOGIE DES DATES						
"In French there are 3 ways to write the word for ""year"": ""année"" (the full form), ""an"" (short form) & ""a"" (narrow form). In English, there are also 3 forms: ""Year"", ""Yr."" (with a period) & ""Yr"" (no period). Does your language have the same abbreviations? Fewer? More? Please translate these into your language. If your language doesn't have a translation for all the translations, write ""DOES NOT EXIST"". If you have MORE abbreviations, please add NOTES in the NOTES column. 
En français, il existe trois façons d’écrire le mot « année » : « année » (forme complète), « an » (forme courte) et « a » (forme abrégée). En anglais, on en trouve également trois formes : « Year », « Yr. » (avec point) et « Yr » (sans point). Votre langue possède-t-elle les mêmes abréviations ? En possède-t-elle moins ? Ou plus ? Veuillez traduire ces formes dans votre langue. Si votre langue ne propose pas de traduction pour l’une de ces formes, écrivez « N’EXISTE PAS ». Si vous avez PLUS d’abréviations, veuillez ajouter des NOTES dans la colonne reservée à cet effet."						
ENGLISH	FRENCH	TRANSLATION IN YOUR LANGUAGE	VISUAL EXAMPLE	NOTES BY TRANSLATOR (IF NECESSARY)	XPATH (Ignore/For Reference Only)	
era	ère	mmerɛ			//ldml/dates/fields/field[@type="era"]/displayName	dw-1_XXX
year	année	afe			//ldml/dates/fields/field[@type="year"]/displayName	dw-2_XXX
yr	a	DOES NOT EXIST		Year is always written in full unless you want to use just the first letter which is acceptable, as shown below. The following is a possibility, however not all Abron speakers would understand unless the context is clear: af	//ldml/dates/fields/field[@type="year-narrow"]/displayName	dw-3_XXX
y	an	a			//ldml/dates/fields/field[@type="year-short"]/displayName	dw-4_XXX
quarter	trimestre	kɔta		Kɔta is borrowed from English but written in how we pronounce in our language.	//ldml/dates/fields/field[@type="quarter"]/displayName	dw-5_XXX
qtr.	trim.	k.		There is typically no abbreviation for quarter. It's either written in full or represented just by k, but if the context is clear it may also be understood as: kɔt.	//ldml/dates/fields/field[@type="quarter-short"]/displayName	dw-6_XXX
qtr	trim.	k.		There is typically no abbreviation for quarter. It's either written in full or represented just by k, but if the context is clear it may also be understood as: kɔt.	//ldml/dates/fields/field[@type="quarter-narrow"]/displayName	dw-7_XXX
month	mois	bosome			//ldml/dates/fields/field[@type="month"]/displayName	dw-8_XXX
mo.	m.	DOES NOT EXIST		Month is always written in full. The following is a possibility, however not all Abron speakers would understand unless the context is clear: bo	//ldml/dates/fields/field[@type="month-short"]/displayName	dw-9_XXX
m	m.	DOES NOT EXIST		Month is always written in full. The following is a possibility, however not all Abron speakers would understand unless the context is clear: b	//ldml/dates/fields/field[@type="month-narrow"]/displayName	dw-10_XXX
week	semaine	nnawɔtwe			//ldml/dates/fields/field[@type="week"]/displayName	dw-11_XXX
wk.	sem.	DOES NOT EXIST		Week is always written in full. The following is a possibility, however not all Abron speakers would understand unless the context is clear: nn.	//ldml/dates/fields/field[@type="week-short"]/displayName	dw-12_XXX
wk	sem.	DOES NOT EXIST		Week is always written in full. The following is a possibility, however not all Abron speakers would understand unless the context is clear: nn	//ldml/dates/fields/field[@type="week-narrow"]/displayName	dw-13_XXX
day	jour	da			//ldml/dates/fields/field[@type="day"]/displayName	dw-14_XXX
d	j	DOES NOT EXIST		Day is always written in full. The following is a possibility, however not all Abron speakers would understand unless the context is clear: d	//ldml/dates/fields/field[@type="day-short"]/displayName	dw-15_XXX
hour	heure	dɔnhwere			//ldml/dates/fields/field[@type="hour"]/displayName	dw-16_XXX
hr	h	DOES NOT EXIST		Hour is always written in full. The following is a possibility, however not all Abron speakers would understand unless the context is clear: dɔ	//ldml/dates/fields/field[@type="hour-narrow"]/displayName	dw-17_XXX
minute	minute	sima			//ldml/dates/fields/field[@type="minute"]/displayName	dw-18_XXX
min	min	DOES NOT EXIST		Minute is always written in full. The following is a possibility, however not all Abron speakers would understand unless the context is clear: sim	//ldml/dates/fields/field[@type="minute-narrow"]/displayName	dw-19_XXX
second	seconde	anitɛtɛ			//ldml/dates/fields/field[@type="second"]/displayName	dw-20_XXX
sec.	s	DOES NOT EXIST		Second is always written in full. The following is a possibility, however not all Abron speakers would understand unless the context is clear: ani.	//ldml/dates/fields/field[@type="second-short"]/displayName	dw-21_XXX
sec	s	DOES NOT EXIST		Second is always written in full. The following is a possibility, however not all Abron speakers would understand unless the context is clear: ani	//ldml/dates/fields/field[@type="second-narrow"]/displayName	dw-22_XXX
day of the week	jour de la semaine	nnawɔtwe mu da			//ldml/dates/fields/field[@type="weekday"]/displayName	dw-23_XXX
"In English there are 2 ways to write the words ""AM"" and ""PM"": ""AM"" and ""PM"" (the full form), or ""a"" (short form) & ""p"" (narrow form). If your language doesn't have a translation for all the translations, write ""DOES NOT EXIST"". If you have MORE abbreviations, please add NOTES in the NOTES column. 
En anglais, il existe deux manières d’écrire les expressions « AM » et « PM » : « AM » et « PM » (forme complète), ou « a » (forme courte) et « p » (forme abrégée). Si votre langue ne propose pas de traduction pour certaines de ces formes, saisissez « N’EXISTE PAS ». Si vous avez PLUS d’abréviations, veuillez ajouter des NOTES dans la colonne reservée à cet effet."						
