LARGE NUMBERS				
In English, one way to write out the four-digit number 1000 is "1 thousand." A way to write 1500 is "1.5 thousand". Please provide translations of the following six abbreviations.				
Full Number	English Abbreviation	Abbreviation in YOUR Language	NOTES BY TRANSLATOR (IF NECESSARY)	
1000	1 thousand	1 thousand		
2000	2 thousand	2 thousand		
1500	1.5 thousand	1.5 thousand		
2300	2.3 thousand	2.3 thousand		
10000	10 thousand	10 thousand		
43000	43 thousand	43 thousand		
10500	10.5 thousand	10.5 thousand		
437000	43.7 thousand	43.7 thousand		
134000	134 thousand	134 thousand		
278000	278 thousand	278 thousand		
134700	134.7 thousand	134.7 thousand		
278100	278.1 thousand	278.1 thousand		
1000000	1 million	1 million		
5000000	5 million	5 million		
1100000	1.1 million	1.1 million		
5700000	5.7 million	5.7 million		
11000000	11 million	11 million		
57000000	57 million	57 million		
11500000	11.5 million	11.5 million		
57700000	57.7 million	57.7 million		
134000000	134 million	134 million		
317000000	317 million	317 million		
134700000	134.7 million	134.7 million		
317900000	317.9 million	317.9 million		
1000000000	1 billion	1 billion		
4000000000	4 billion	4 billion		
1200000000	1.2 billion	1.2 billion		
4700000000	4.7 billion	4.7 billion		
11000000000	11 billion	11 billion		
39000000000	39 billion	39 billion		
11200000000	11.2 billion	11.2 billion		
39900000000	39.9 billion	39.9 billion		
134000000000	134 billion	134 billion		
623000000000	623 billion	623 billion		
134700000000	134.7 billion	134.7 billion		
623500000000	623.5 billion	623.5 billion		
1000000000000	1 trillion	1 trillion		
4000000000000	4 trillion	4 trillion		
1700000000000	1.7 trillion	1.7 trillion		
4200000000000	4.2 trillion	4.2 trillion		
17000000000000	17 trillion	17 trillion		
42000000000000	42 trillion	42 trillion		
17800000000000	17.8 trillion	17.8 trillion		
42300000000000	42.3 trillion	42.3 trillion		
178000000000000	178 trillion	178 trillion		
423000000000000	423 trillion	423 trillion		
178100000000000	178.1 trillion	178.1 trillion		
423900000000000	423.9 trillion	423.9 trillion		
In English, one way to write out the four-digit amount $1,000 is "$1K." A way to write $1,500 is "$1.5K". Please provide translations of the following abbreviations, making sure also to use the correct currency symbol in your language. If your currency symbol comes before the number, place it before the number. If your currency symbol normally comes after the number, place it after the number.				
Full Number	English Abbreviation	Abbreviation in YOUR Language	NOTES BY TRANSLATOR (IF NECESSARY)	
$1,000	$1K	$1K		
$7,000	$7K	$7K		
$1,500	$1.5K	$1.5K		
$7,200	$7.2K	$7.2K		
$10,000	$10K	$10K		
$99,000	$99K	$99K		
$10,500	$10.5K	$10.5K		
$99,100	$99.1K	$99.1K		
$134,000	$134K	$134K		
$274,000	$274K	$274K		
$134,700	$134.7K	$134.7K		
$274,900	$274.9K	$274.9K		
$1,000,000	$1M	$1M		
$7,000,000	$7M	$7M		
$1,100,000	$1.1M	$1.1M		
$8,700,000	$8.7M	$8.7M		
$11,000,000	$11M	$11M		
$85,000,000	$85M	$85M		
$11,500,000	$11.5M	$11.5M		
$85,400,000	$85.4M	$85.4M		
$134,000,000	$134M	$134M		
$867,000,000	$867M	$867M		
$134,700,000	$134.7M	$134.7M		
$867,200,000	$867.2M	$867.2M		
$1,000,000,000	$1B	$1B		
$7,000,000,000	$7B	$7B		
$1,200,000,000	$1.2B	$1.2B		
$7,500,000,000	$7.5B	$7.5B		
$11,000,000,000	$11B	$11B		
$81,000,000,000	$81B	$81B		
$11,200,000,000	$11.2B	$11.2B		
$81,400,000,000	$81.4B	$81.4B		
$134,000,000,000	$134B	$134B		
$912,000,000,000	$912B	$912B		
$134,700,000,000	$134.7B	$134.7B		
$912,900,000,000	$912.9B	$912.9B		
$1,000,000,000,000	$1T	$1T		
$9,000,000,000,000	$9T	$9T		
$1,700,000,000,000	$1.7T	$1.7T		
$9,300,000,000,000	$9.3T	$9.3T		
$17,000,000,000,000	$17T	$17T		
$93,000,000,000,000	$93T	$93T		
$17,800,000,000,000	$17.8T	$17.8T		
$93,500,000,000,000	$93.5T	$93.5T		
$170,000,000,000,000	$170T	$170T		
$170,900,000,000,000	$170.9T	$170.9T		
$930,000,000,000,000	$930T	$930T		
$930,400,000,000,000	$930.4T	$930.4T		
In English, the SHORTEST abbreviation of the four-digit number 1000 is 1K. The SHORTEST abbreviation of 1500 is 1.5K. Please provide the SHORTEST abbreviation in your language of the following numbers.				
Full Number	English Abbreviation	Abbreviation in YOUR Language	NOTES BY TRANSLATOR (IF NECESSARY)	Xpath (IGnore)
1,000	1K	1K		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="1000"][@count="one"]
7,000	7K	7K		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="1000"][@count="one"]
1,500	1.5K	1.5K		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="1000"][@count="other"]
7,200	7.2K	7.2K		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="1000"][@count="other"]
In English, the SHORTEST abbreviation of the five-digit number 10000 is 10K. The SHORTEST abbreviation of 10500 is 10.5K. Please provide the SHORTEST abbreviation in your language of the following numbers				
Full Number	English Abbreviation	Abbreviation in YOUR Language	NOTES BY TRANSLATOR (IF NECESSARY)	Xpath (IGnore)
10,000	10K	10K		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="10000"][@count="one"]
43,000	43K	43K		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="10000"][@count="one"]
10,500	10.5K	10.5K		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="10000"][@count="other"]
43,700	43.7K	43.7K		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="10000"][@count="other"]
