id	ENGLISH	TRANSLATION IN YOUR LANGUAGE	NOTES BY TRANSLATOR (IF NECESSARY)
CLDR-1	CLDR (the Common Locale Data Repository) is a global database created by the Unicode Consortium, a not-for-profit global organization. CLDR helps computers work correctly in different languages. It includes things like the names of months and days, date and number formats, and other language rules that phones, websites, and apps rely on. In practice, the only way for most modern software to support a language properly is for that language to be included in CLDR. CLDR is the largest and most comprehensive shared database of language and regional information available today.	CLDR (the Common Locale Data Repository) is a global database created by the Unicode Consortium, a not-for-profit global organization. CLDR helps computers work correctly in different languages. It includes things like the names of months and days, date and number formats, and other language rules that phones, websites, and apps rely on. In practice, the only way for most modern software to support a language properly is for that language to be included in CLDR. CLDR is the largest and most comprehensive shared database of language and regional information available today.	
CLDR-2	Anyone can view CLDR data, but improving it and adding to it is a detailed process. Two times each year, volunteers and language experts can propose new translations, fix mistakes, discuss disagreements, and vote on what best represents real language use. They can also add new languages to CLDR, helping their languages become part of the digital age.	Anyone can view CLDR data, but improving it and adding to it is a detailed process. Two times each year, volunteers and language experts can propose new translations, fix mistakes, discuss disagreements, and vote on what best represents real language use. They can also add new languages to CLDR, helping their languages become part of the digital age.	
CLDR-3	Instead of decisions being made by a small group behind closed doors, CLDR is shaped through open discussion and review. After several stages of checking and approval, the final data is released and used by billions of devices and applications around the world.	Instead of decisions being made by a small group behind closed doors, CLDR is shaped through open discussion and review. After several stages of checking and approval, the final data is released and used by billions of devices and applications around the world.	
KBIUX-1	KBIUX: Multilingual and Multicultural UX/UI Design	KBIUX: Multilingual and Multicultural UX/UI Design	
KBIUX-2	KBIUX is a 5-week online course designed for beginners and early-career students (18+ years old) interested in the fundamentals of User Experience (UX) and User Interface (UI) design — with a specific focus on multilingual, multicultural design for under-resourced and digitally disadvantaged languages worldwide.	KBIUX is a 5-week online course designed for beginners and early-career students (18+ years old) interested in the fundamentals of User Experience (UX) and User Interface (UI) design — with a specific focus on multilingual, multicultural design for under-resourced and digitally disadvantaged languages worldwide.	
KBIUX-3	To learn more, please fill out this short survey:	To learn more, please fill out this short survey:	
Local Organization Form-1	Survey Form	Survey Form	
Local Organization Form-2	What is your email address?	What is your email address?	
Local Organization Form-3	What is your full name?	What is your full name?	
Local Organization Form-4	Which language do you wish to contribute data for?	Which language do you wish to contribute data for?	
Local Organization Form-5	What is your background with this language? Is your relationship with this language social, academic, and/or professional? Please share as much information as you can.	What is your background with this language? Is your relationship with this language social, academic, and/or professional? Please share as much information as you can.	
