#cldr/common/bcp47/number.xml			#cldr/common/supplemental/numberingSystems.xml		
Code	Name	Version	Method	Digits	Rules reference
adlm	Adlam digits	30	numeric	&#x1E950;&#x1E951;&#x1E952;&#x1E953;&#x1E954;&#x1E955;&#x1E956;&#x1E957;&#x1E958;&#x1E959;	
ahom	Ahom digits	28	numeric	&#x11730;&#x11731;&#x11732;&#x11733;&#x11734;&#x11735;&#x11736;&#x11737;&#x11738;&#x11739;	
arab	Arabic-Indic digits		numeric	٠١٢٣٤٥٦٧٨٩	
arabext	Extended Arabic-Indic digits		numeric	۰۱۲۳۴۵۶۷۸۹	
armn	Armenian upper case numerals — algorithmic		algorithmic	ԱԲԳԴԵԶԷԸԹ	armenian-upper
armnlow	Armenian lower case numerals — algorithmic		algorithmic	աբգդեզէըթ	armenian-lower
bali	Balinese digits	21	numeric	᭐᭑᭒᭓᭔᭕᭖᭗᭘᭙	
beng	Bengali digits		numeric	০১২৩৪৫৬৭৮৯	
bhks	Bhaiksuki digits	30	numeric	&#x11C50;&#x11C51;&#x11C52;&#x11C53;&#x11C54;&#x11C55;&#x11C56;&#x11C57;&#x11C58;&#x11C59;	
brah	Brahmi digits	21	numeric	&#x11066;&#x11067;&#x11068;&#x11069;&#x1106A;&#x1106B;&#x1106C;&#x1106D;&#x1106E;&#x1106F;	
cakm	Chakma digits	21	numeric	&#x11136;&#x11137;&#x11138;&#x11139;&#x1113A;&#x1113B;&#x1113C;&#x1113D;&#x1113E;&#x1113F;	
cham	Cham digits	21	numeric	꩐꩑꩒꩓꩔꩕꩖꩗꩘꩙	
chis	Chisoi digits	49	numeric	&#x16DA0;&#x16DA1;&#x16DA2;&#x16DA3;&#x16DA4;&#x16DA5;&#x16DA6;&#x16DA7;&#x16DA8;&#x16DA9;	
cyrl	Cyrillic numerals — algorithmic	28	algorithmic	авгдєѕзиѳ	cyrillic-lower
deva	Devanagari digits		numeric	०१२३४५६७८९	
diak	Dives Akuru digits	36.1	numeric	&#x11950;&#x11951;&#x11952;&#x11953;&#x11954;&#x11955;&#x11956;&#x11957;&#x11958;&#x11959;	
ethi	Ethiopic numerals — algorithmic		algorithmic	፩፪፫፬፭፮፯፰፱	ethiopic
finance	Financial numerals — may be algorithmic	21			
fullwide	Full width digits		numeric	０１２３４５６７８９	
gara	Garay digits	46	numeric	&#x10D40;&#x10D41;&#x10D42;&#x10D43;&#x10D44;&#x10D45;&#x10D46;&#x10D47;&#x10D48;&#x10D49;	
geor	Georgian numerals — algorithmic		algorithmic	აბგდევზჱთ	georgian
gong	Gunjala Gondi digits	33.1	numeric	&#x11DA0;&#x11DA1;&#x11DA2;&#x11DA3;&#x11DA4;&#x11DA5;&#x11DA6;&#x11DA7;&#x11DA8;&#x11DA9;	
gonm	Masaram Gondi digits	32	numeric	&#x11D50;&#x11D51;&#x11D52;&#x11D53;&#x11D54;&#x11D55;&#x11D56;&#x11D57;&#x11D58;&#x11D59;	
