Subject	Group	Field	Instance	Length	Variant	Example#	XPath	ExtID	English	English (pattern)	French	Level	Var1	Var2
dates	DateFields	d		w		0	//ldml/dates/fields/field[@type="day"]/displayName	dw-14_XXX	day	day	jour	Moderate		
dates	DateFields	d		s		0	//ldml/dates/fields/field[@type="day-short"]/displayName	dw-15_XXX	day	day	j	Moderate		
dates	DateFields	E		w		0	//ldml/dates/fields/field[@type="weekday"]/displayName	dw-23_XXX	day of the week	day of the week	jour de la semaine	Moderate		
dates	DateFields	G		w		0	//ldml/dates/fields/field[@type="era"]/displayName	dw-1_XXX	era	era	ère	Moderate		
dates	DateFields	h		w		0	//ldml/dates/fields/field[@type="hour"]/displayName	dw-16_XXX	hour	hour	heure	Moderate		
dates	DateFields	h		n		0	//ldml/dates/fields/field[@type="hour-narrow"]/displayName	dw-17_XXX	hr	hr	h	Moderate		
dates	DateFields	M		w		0	//ldml/dates/fields/field[@type="month"]/displayName	dw-8_XXX	month	month	mois	Moderate		
dates	DateFields	M		s		0	//ldml/dates/fields/field[@type="month-short"]/displayName	dw-9_XXX	mo.	mo.	m.	Moderate		
dates	DateFields	M		n		0	//ldml/dates/fields/field[@type="month-narrow"]/displayName	dw-10_XXX	mo	mo	m.	Moderate		
dates	DateFields	m		w		0	//ldml/dates/fields/field[@type="minute"]/displayName	dw-18_XXX	minute	minute	minute	Moderate		
dates	DateFields	m		n		0	//ldml/dates/fields/field[@type="minute-narrow"]/displayName	dw-19_XXX	min	min	min	Moderate		
dates	DateFields	q		w		0	//ldml/dates/fields/field[@type="quarter"]/displayName	dw-5_XXX	quarter	quarter	trimestre	Moderate		
dates	DateFields	q		s		0	//ldml/dates/fields/field[@type="quarter-short"]/displayName	dw-6_XXX	qtr.	qtr.	trim.	Moderate		
dates	DateFields	q		n		0	//ldml/dates/fields/field[@type="quarter-narrow"]/displayName	dw-7_XXX	qtr	qtr	trim.	Moderate		
dates	DateFields	s		w		0	//ldml/dates/fields/field[@type="second"]/displayName	dw-20_XXX	second	second	seconde	Moderate		
dates	DateFields	s		s		0	//ldml/dates/fields/field[@type="second-short"]/displayName	dw-21_XXX	sec.	sec.	s	Moderate		
dates	DateFields	s		n		0	//ldml/dates/fields/field[@type="second-narrow"]/displayName	dw-22_XXX	sec	sec	s	Moderate		
dates	DateFields	v		w		0	//ldml/dates/fields/field[@type="zone"]/displayName		time zone	time zone	fuseau horaire	Moderate		
dates	DateFields	w		w		0	//ldml/dates/fields/field[@type="week"]/displayName	dw-11_XXX	week	week	semaine	Moderate		
dates	DateFields	w		s		0	//ldml/dates/fields/field[@type="week-short"]/displayName	dw-12_XXX	wk.	wk.	sem.	Moderate		
dates	DateFields	w		n		0	//ldml/dates/fields/field[@type="week-narrow"]/displayName	dw-13_XXX	wk	wk	sem.	Moderate		
dates	DateFields	y		w		0	//ldml/dates/fields/field[@type="year"]/displayName	dw-2_XXX	year	year	année	Moderate		
dates	DateFields	y		s		0	//ldml/dates/fields/field[@type="year-short"]/displayName	dw-3_XXX	yr.	yr.	an	Moderate		
dates	DateFields	y		n		0	//ldml/dates/fields/field[@type="year-narrow"]/displayName	dw-4_XXX	yr	yr	a	Moderate		
dates	DateIntervals	intervalFormats	M		M	1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="M"]/greatestDifference[@id="M"]	dc-60_XXX	April – May	M – M		Moderate	1,713,855,600,000	
dates	DateIntervals	intervalFormats	M		M	2	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="M"]/greatestDifference[@id="M"]	dc-61_XXX	April – May	M – M		Moderate	1,713,855,600,000	
dates	DateIntervals	intervalFormats	Md		m	1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="Md"]/greatestDifference[@id="m"]	dc-25_XXX	4/23 – 5/23	M/d – M/d		Moderate	1,713,855,600,000	
dates	DateIntervals	intervalFormats	Md		d	1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="Md"]/greatestDifference[@id="d"]	dc-26_XXX	4/23 – 4/24	M/d – M/d		Moderate	1,713,855,600,000	1713942000000
dates	DateIntervals	intervalFormats	Md		d	2	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="Md"]/greatestDifference[@id="d"]	dc-63_XXX	4/23 – 4/24	M/d – M/d		Moderate	1,713,855,600,000	1713942000000
dates	DateIntervals	intervalFormats	Md		M	2	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="Md"]/greatestDifference[@id="M"]	dc-64_XXX	4/23 – 5/23	M/d – M/d		Moderate	1,713,855,600,000	
dates	DateIntervals	intervalFormats	MEd		m	1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="MEd"]/greatestDifference[@id="m"]	dc-22_XXX	Tue, 4/23 – Tue, 5/23	E, M/d – E, M/d		Moderate	1,713,855,600,000	
dates	DateIntervals	intervalFormats	MEd		d	1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="MEd"]/greatestDifference[@id="d"]	dc-23_XXX	Tue, 4/23 – Wed, 4/24	E, M/d – E, M/d		Moderate	1,713,855,600,000	1713942000000
dates	DateIntervals	intervalFormats	MEd		d	2	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="MEd"]/greatestDifference[@id="d"]	dc-42_XXX	Tue, 4/23 – Wed, 4/24	E, M/d – E, M/d		Moderate	1,713,855,600,000	1713942000000
dates	DateIntervals	intervalFormats	MEd		M	2	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="MEd"]/greatestDifference[@id="M"]	dc-43_XXX	Tue, 4/23 – Thu, 5/23	E, M/d – E, M/d		Moderate	1,713,855,600,000	
dates	DateIntervals	intervalFormats	MMM		M	1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="MMM"]/greatestDifference[@id="M"]	dc-89_XXX	Apr – May	MMM – MMM		Moderate		
dates	DateIntervals	intervalFormats	MMMd		d	1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="MMMd"]/greatestDifference[@id="d"]	dc-91_XXX	Apr 23 – 24	MMM d – d		Moderate	1,713,855,600,000	1713942000000
dates	DateIntervals	intervalFormats	MMMd		M	1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="MMMd"]/greatestDifference[@id="M"]	dc-92_XXX	Apr 23 – May 23	MMM d – MMM d		Moderate	1,713,855,600,000	
