NUMERICAL SYSTEMS / SYSTÈMES NUMÉRIQUES					
"Even if you don’t use Tibetan Digits or Greek Numerals, it’s important to include local translations of these systems. Imagine a tech incubator in your city building a smartphone app for a global audience. When users choose number formats, every option should appear clearly in your language—just like they do in English or French. This shows professionalism, helps with accessibility, and prepares local developers to build inclusive, world-class apps that serve users from all cultures and language backgrounds.
Même si vous n’utilisez pas les chiffres tibétains ou les numéraux grecs, il est important d’inclure les traductions locales de ces systèmes. Imaginez un incubateur technologique de votre ville développant une application mobile destinée à un public mondial. Il devrait faire en sorte que, lorsque les utilisateurs choisissent les formats numériques, toutes les options apparaissent clairement dans leur langue — tout comme c'est le cas en anglais ou en français. Non seulement c'est faire preuve de professionnalisme, mais aussi, ça favorise l’accessibilité et prépare les développeurs locaux à créer des applications inclusives d'envergure mondiale qui serviront les utilisateurs de toutes les cultures et langues."					
Original (English)	Original (French)		Translation	Translator Notes/Comments	XPath (IGNORE)
Vai Digits	chiffres en vaï		Vai Numɛse	Digits/Numbers/Numerals in ABRON can all be referred to as "numɛse" which translates to Numbers in English.	//ldml/localeDisplayNames/types/type[@key="numbers"][@type="vaii"]
Tibetan Digits	chiffres tibétains		Tibetan Numɛse		//ldml/localeDisplayNames/types/type[@key="numbers"][@type="tibt"]
Thai Digits	chiffres thaïs		Thai Numɛse		//ldml/localeDisplayNames/types/type[@key="numbers"][@type="thai"]
Telugu Digits	chiffres télougous		Telugu Numɛse		//ldml/localeDisplayNames/types/type[@key="numbers"][@type="telu"]
Tamil Digits	chiffres tamouls		Tamil Numɛse		//ldml/localeDisplayNames/types/type[@key="numbers"][@type="tamldec"]
Traditional Tamil Numerals	chiffres tamouls traditionnels		Tamil Tete Numɛse		//ldml/localeDisplayNames/types/type[@key="numbers"][@type="taml"]
Roman Lowercase Numerals	chiffres romains minuscules		Roman Numɛse a ɛwɔ atwedeɛ nketewa mu		//ldml/localeDisplayNames/types/type[@key="numbers"][@type="romanlow"]
Roman Numerals	chiffres romains		Roman Numɛse		//ldml/localeDisplayNames/types/type[@key="numbers"][@type="roman"]
Odia Digits	chiffres oriyas		Odia Numɛse		//ldml/localeDisplayNames/types/type[@key="numbers"][@type="orya"]
