id	ENGLISH	TRANSLATION IN YOUR LANGUAGE	NOTES BY TRANSLATOR (IF NECESSARY)
CLDR-1	CLDR (the Common Locale Data Repository) is a global database created by the Unicode Consortium, a not-for-profit global organization. CLDR helps computers work correctly in different languages. It includes things like the names of months and days, date and number formats, and other language rules that phones, websites, and apps rely on. In practice, the only way for most modern software to support a language properly is for that language to be included in CLDR. CLDR is the largest and most comprehensive shared database of language and regional information available today.	CLDR (कॉमन लोकेल डेटा रिपॉज़िटरी) एगो वैश्विक डेटाबेस ह जवन कि यूनिकोड कंसोर्टियम द्वारा बनावल गइल बा आ ई एगो गैर-लाभकारी वैश्विक संगठन ह। CLDR कंप्यूटर के अलग-अलग भाषा में सही तरीका से काम करे में मदद करेला। एकरा में महीना आ दिन के नाम, तारीख आ नंबर के फॉर्मैट, आ दोसर भाषा सभ के नियम होला, जेकरा मदद से फोन, वेबसाइट आ ऐप सही तरीका से काम क पावेला। असल में, आजकल के ज्यादातर सॉफ्टवेयर तब्बे कवनो भाषा के ठीक से सपोर्ट क सकेला जब ऊ भाषा CLDR में सामिल होखे। CLDR आज के समय में भाषा आ क्षेत्रीय जानकारी के सबसे बड़हन आ सबसे व्यापक साझा डेटाबेस ह।	
CLDR-2	Anyone can view CLDR data, but improving it and adding to it is a detailed process. Two times each year, volunteers and language experts can propose new translations, fix mistakes, discuss disagreements, and vote on what best represents real language use. They can also add new languages to CLDR, helping their languages become part of the digital age.	CLDR डेटा केहुओ देख सकेला बाकिर एकरा में कवनों सुधार करे आ कवनो नाया जानकारी जोड़े के प्रक्रिया बहुते बिस्तार से होला। साल में दू बेर स्वयंसेवक आ भाषा विशेषज्ञ नया अनुवाद सुझा सकेलन, गलती सुधार सकेलन, कवनों मतभेद होखे त ओ प चर्चा कर सकेलन, आ वोट दे सकेले कि कवन तरीका भाषा के सबसे सही इस्तेमाल के बढ़िया ढंग से देखावेला। साथही, ऊ लोग CLDR में नाया भाषा भी जोड़ सकेला, ताकि उनकर भाषा डिजिटल युग के हिस्सा बन सके।	
CLDR-3	Instead of decisions being made by a small group behind closed doors, CLDR is shaped through open discussion and review. After several stages of checking and approval, the final data is released and used by billions of devices and applications around the world.	निजी रूप से एगो छोट समूह द्वारा फैसला लिहला के बजाय CLDR के निर्माण सार्वजनिक चर्चा आ समीक्षा के जरिए होला। कई दौर के जांच आ मंजूरी पार कइला के बाद, अंतिम डाटा जारी कइल जाला आ दुनियाभर के अरबों डिवाइस आ ऐप्स द्वारा इस्तेमाल होला।	
KBIUX-1	KBIUX: Multilingual and Multicultural UX/UI Design	KBIUX: कई गो भाषा आ संस्कृति के ध्यान में रख के बनावल UX/UI डिजाइन	
KBIUX-2	KBIUX is a 5-week online course designed for beginners and early-career students (18+ years old) interested in the fundamentals of User Experience (UX) and User Interface (UI) design — with a specific focus on multilingual, multicultural design for under-resourced and digitally disadvantaged languages worldwide.	KBIUX एगो 5 हफ्ता के ऑनलाइन कोर्स ह, जवन कि नवसिखुवा और सुरुआती पेशेवर वाला विद्यार्थिन (18+ बरिस के उमिर) खातिर बनावल गइल बा। ई कोर्स यूजर एक्सपीरियंस (UX) आ यूजर इंटरफेस (UI) डिजाइन के मूल बातन पर ध्यान देला — खास करके ओह बहुभाषी आ बहुसांस्कृतिक डिजाइनन प, जे दुनियाभर के कम संसाधन वाला आ डिजिटल रूप से पिछड़ल भाषन खातिर ह।	
KBIUX-3	To learn more, please fill out this short survey:	अउरी ढेर जाने खातिर, हई छोटा सर्वे फारम भरीं:	
Local Organization Form-1	Survey Form	सर्वे फारम	
Local Organization Form-2	What is your email address?	राउर ईमेल एड्रेस का ह?	
Local Organization Form-3	What is your full name?	राउर पूरा नांव का ह?	
Local Organization Form-4	Which language do you wish to contribute data for?	रउवा कवना भाषा खातिर डेटा दिहल चाहतानी?	
