English	French	Translation	Comments	xpath	ext_id
QUESTION	French	Kreol Morisyen	Additional Comments (optional!) to explain the Correction you made (Commentaires supplémentaires (facultatif) pour expliquer la correction que vous avez apportée.)		
First, what is the name of your language in your language. For example, the name of the language "German" in German is "Deutsch". Meanwhile, the name for "Thai" in Thai is "ไทย". What is the name if your language in your own language? 	Tout d’abord, quel est le nom votre langue dans votre propre langue ? Par exemple, le nom de la langue « German » en allemand est « Deutsch ». De même, le nom de « Thai » en thaï est « ไทย ». Quel nom désigne donc votre langue dans votre propre langue ?	Kreol Morisien / Kreol			bi-1_XXX
Now, what is the name of your language in English? For example, the name for "Deutsch" in English is "German". The name for "" in English is "Chinese". What is the name of your language in English?	Quel est le nom de votre langue en anglais ? Par exemple, en anglais le nom « Deutsch » est rendu par « German » et le nom « 中文 » par « Chinese ». Quel est donc le nom de votre langue en anglais ?	Mauritian Creole 			bi-2_XXX
Let's say you are giving a review for an online class, a product, or a restaurant. In English you might give "4.7" (a score in between 4 and 5, that is). In your language, do you use the decimal point (.) to separate the numbers "4" and "7"? If not, what do you use? A comma (,)? An apostophe (')? Something else? Please provide your translation of "4.7" in the column marked "YOUR ANSWER".	Supposons que vous laissiez un avis pour un cours en ligne, un produit ou un restaurant. En anglais, vous pourriez donner la note « 4.7 » (pour indiquer un score compris entre 4 et 5). Dans votre langue, utilisez-vous le point (.) comme séparateur entre les chiffres « 4 » et « 7 » ? Sinon, qu’utilisez-vous ? Une virgule (,) ? Une apostrophe (') ? Autre chose ? Veuillez indiquer votre traduction de « 4.7 » dans la colonne marquée « YOUR ANSWER ».	4.7			bi-3_XXX
What are the letters in your alphabet, and in what order should they be written?	Quelles sont les lettres de votre alphabet et dans quel ordre doivent-elles être écrites?	A B C D E F G I K L M N O P Q R S T U V W Y Z a b c d e f g h i j k l m n o p r s t u v w x y z 		//ldml/characters/exemplarCharacters	
DATE WORDS / TERMINOLOGIE DES DATES					
"In French there are 3 ways to write the word for ""year"": ""année"" (the full form), ""an"" (short form) & ""a"" (narrow form). In English, there are also 3 forms: ""Year"", ""Yr."" (with a period) & ""Yr"" (no period). Does your language have the same abbreviations? Fewer? More? Please translate these into your language. If your language doesn't have a translation for all the translations, write ""DOES NOT EXIST"". If you have MORE abbreviations, please add NOTES in the NOTES column. 
En français, il existe trois façons d’écrire le mot « année » : « année » (forme complète), « an » (forme courte) et « a » (forme abrégée). En anglais, on en trouve également trois formes : « Year », « Yr. » (avec point) et « Yr » (sans point). Votre langue possède-t-elle les mêmes abréviations ? En possède-t-elle moins ? Ou plus ? Veuillez traduire ces formes dans votre langue. Si votre langue ne propose pas de traduction pour l’une de ces formes, écrivez « N’EXISTE PAS ». Si vous avez PLUS d’abréviations, veuillez ajouter des NOTES dans la colonne reservée à cet effet."					
ENGLISH	FRENCH	Correction (if necessary/si nécessaire)			
era	ère	lepok / peryod	Literal translation + confusion with the word "time." No one says "ler lindepandans" for "the independence era," but we will say "peryod/lepok lindepandans"	//ldml/dates/fields/field[@type="era"]/displayName	dw-1_XXX
year	année	lane		//ldml/dates/fields/field[@type="year"]/displayName	dw-2_XXX
yr	a	l		//ldml/dates/fields/field[@type="year-short"]/displayName	dw-3_XXX
y	an	l		//ldml/dates/fields/field[@type="year-narrow"]/displayName	dw-4_XXX
quarter	trimestre	trimes		//ldml/dates/fields/field[@type="quarter"]/displayName	dw-5_XXX
qtr.	trim.	trim.		//ldml/dates/fields/field[@type="quarter-short"]/displayName	dw-6_XXX
qtr	trim.	trim		//ldml/dates/fields/field[@type="quarter-narrow"]/displayName	dw-7_XXX
month	mois	mwa		//ldml/dates/fields/field[@type="month"]/displayName	dw-8_XXX
mo.	m.	m.		//ldml/dates/fields/field[@type="month-short"]/displayName	dw-9_XXX
m	m.	m		//ldml/dates/fields/field[@type="month-narrow"]/displayName	dw-10_XXX
week	semaine	lasemenn		//ldml/dates/fields/field[@type="week"]/displayName	dw-11_XXX
wk.	sem.	sem.		//ldml/dates/fields/field[@type="week-short"]/displayName	dw-12_XXX
wk	sem.	sem		//ldml/dates/fields/field[@type="week-narrow"]/displayName	dw-13_XXX
day	jour	zour		//ldml/dates/fields/field[@type="day"]/displayName	dw-14_XXX
