BASIC INFORMATION / INFORMATIONS DE BASE						ext_id
"Let's begin with some basic questions about your language! Please read the question in the column ""QUESTION"" and provide your answer in the column labeled ""Your Answer""
Commençons par quelques questions de base au sujet de votre langue ! Veuillez lire les questions figurant dans la colonne « QUESTION » et y répondre dans la colonne intitulée « Votre réponse »"						
QUESTION	French	YOUR ANSWER	Visual Example	NOTES BY TRANSLATOR (IF NECESSARY)		
First, what is the name of your language in your language. For example, the name of the language "German" in German is "Deutsch". Meanwhile, the name for "Thai" in Thai is "ไทย". What is the name if your language in your own language? 	Tout d’abord, quel est le nom votre langue dans votre propre langue ? Par exemple, le nom de la langue « German » en allemand est « Deutsch ». De même, le nom de « Thai » en thaï est « ไทย ». Quel nom désigne donc votre langue dans votre propre langue ?	Voalohany, inona no anaran'ilay teninao amin'ny teninao. Ohatra, ny anaran'ny teny "Alemana" amin'ny Alemana dia "Deutsch". Etsy ankilany, ny anaran'ny teny "Thai" amin'ny Thai dia "ไทย". Inona no anaran'ilay teninao amin'ny teninao samirery? 				bi-1_XXX
Now, what is the name of your language in English? For example, the name for "Deutsch" in English is "German". The name for "" in English is "Chinese". What is the name of your language in English?	Quel est le nom de votre langue en anglais ? Par exemple, en anglais le nom « Deutsch » est rendu par « German » et le nom « 中文 » par « Chinese ». Quel est donc le nom de votre langue en anglais ?	Amin'izao, inona no anaran'ny teninao amin'ny teny Anglisy? Ohatra, ny anaran'ny "Deutsch" amin'ny Anglisy dia "German". Ny anaran'ny "Sinoa" amin'ny Anglisy dia "Chinese". Inona no anaran'ny teninao amin'ny Anglisy?				bi-2_XXX
Let's say you are giving a review for an online class, a product, or a restaurant. In English you might give "4.7" (a score in between 4 and 5, that is). In your language, do you use the decimal point (.) to separate the numbers "4" and "7"? If not, what do you use? A comma (,)? An apostophe (')? Something else? Please provide your translation of "4.7" in the column marked "YOUR ANSWER".	Supposons que vous laissiez un avis pour un cours en ligne, un produit ou un restaurant. En anglais, vous pourriez donner la note « 4.7 » (pour indiquer un score compris entre 4 et 5). Dans votre langue, utilisez-vous le point (.) comme séparateur entre les chiffres « 4 » et « 7 » ? Sinon, qu’utilisez-vous ? Une virgule (,) ? Une apostrophe (') ? Autre chose ? Veuillez indiquer votre traduction de « 4.7 » dans la colonne marquée « YOUR ANSWER ».	Ndao hatao hoe manome fanombanana fianarana an-jotra iray, vokatra iray na trano fisakafoana iray ianao. Amin'ny Anglisy, ianao dia mety hanome "4.7" (izany hoe, naoty iray eo anelanelan'ny 4 sy 5). Amin'ny teninao, mampiasa ilay teboka desimaly (.) hanasarahana ireo "4" sy "7" ve ianao? Raha tsia, inona no ampiasainao? Faingo (,)? Faingomihantona (')? Zavatra hafa? Omeo ao amin'ilay tsanganana voamarika "NY VALINTENINAO" ny dikanteninao ho an'ny "4.7" azafady.				bi-3_XXX
DATE WORDS / TERMINOLOGIE DES DATES						
"In French there are 3 ways to write the word for ""year"": ""année"" (the full form), ""an"" (short form) & ""a"" (narrow form). In English, there are also 3 forms: ""Year"", ""Yr."" (with a period) & ""Yr"" (no period). Does your language have the same abbreviations? Fewer? More? Please translate these into your language. If your language doesn't have a translation for all the translations, write ""DOES NOT EXIST"". If you have MORE abbreviations, please add NOTES in the NOTES column. 
En français, il existe trois façons d’écrire le mot « année » : « année » (forme complète), « an » (forme courte) et « a » (forme abrégée). En anglais, on en trouve également trois formes : « Year », « Yr. » (avec point) et « Yr » (sans point). Votre langue possède-t-elle les mêmes abréviations ? En possède-t-elle moins ? Ou plus ? Veuillez traduire ces formes dans votre langue. Si votre langue ne propose pas de traduction pour l’une de ces formes, écrivez « N’EXISTE PAS ». Si vous avez PLUS d’abréviations, veuillez ajouter des NOTES dans la colonne reservée à cet effet."						
ENGLISH	FRENCH	TRANSLATION IN YOUR LANGUAGE	VISUAL EXAMPLE	NOTES BY TRANSLATOR (IF NECESSARY)	XPATH (Ignore/For Reference Only)	
era	ère	vanim-potoana			//ldml/dates/fields/field[@type="era"]/displayName	dw-1_XXX
year	année	taona			//ldml/dates/fields/field[@type="year"]/displayName	dw-2_XXX
yr	a	tn			//ldml/dates/fields/field[@type="year-narrow"]/displayName	dw-3_XXX
y	an	t			//ldml/dates/fields/field[@type="year-short"]/displayName	dw-4_XXX
