English	French	Translation	Comments	xpath	ext_id
QUESTION	French	Mossi/Moore	Additional Comments (optional!) to explain the Correction you made (Commentaires supplémentaires (facultatif) pour expliquer la correction que vous avez apportée.)		
First, what is the name of your language in your language. For example, the name of the language "German" in German is "Deutsch". Meanwhile, the name for "Thai" in Thai is "ไทย". What is the name if your language in your own language? 	Tout d’abord, quel est le nom votre langue dans votre propre langue ? Par exemple, le nom de la langue « German » en allemand est « Deutsch ». De même, le nom de « Thai » en thaï est « ไทย ». Quel nom désigne donc votre langue dans votre propre langue ?	Our language is called Moore in the Moore language. 			bi-1_XXX
Now, what is the name of your language in English? For example, the name for "Deutsch" in English is "German". The name for "" in English is "Chinese". What is the name of your language in English?	Quel est le nom de votre langue en anglais ? Par exemple, en anglais le nom « Deutsch » est rendu par « German » et le nom « 中文 » par « Chinese ». Quel est donc le nom de votre langue en anglais ?	The name of our language in English is Moore			bi-2_XXX
Let's say you are giving a review for an online class, a product, or a restaurant. In English you might give "4.7" (a score in between 4 and 5, that is). In your language, do you use the decimal point (.) to separate the numbers "4" and "7"? If not, what do you use? A comma (,)? An apostophe (')? Something else? Please provide your translation of "4.7" in the column marked "YOUR ANSWER".	Supposons que vous laissiez un avis pour un cours en ligne, un produit ou un restaurant. En anglais, vous pourriez donner la note « 4.7 » (pour indiquer un score compris entre 4 et 5). Dans votre langue, utilisez-vous le point (.) comme séparateur entre les chiffres « 4 » et « 7 » ? Sinon, qu’utilisez-vous ? Une virgule (,) ? Une apostrophe (') ? Autre chose ? Veuillez indiquer votre traduction de « 4.7 » dans la colonne marquée « YOUR ANSWER ».	In Moore, we use the comma for decimal numbers (4,7)			bi-3_XXX
What are the letters in your alphabet, and in what order should they be written?	Quelles sont les lettres de votre alphabet et dans quel ordre doivent-elles être écrites?	A B C D E F G I J K L M N O P R S T U V W Y Z a b c d e f g h i j k l m n o p r s t u v w y z ã õ ĩ ũ ɛ ɩ ʋ ẽ		//ldml/characters/exemplarCharacters	
DATE WORDS / TERMINOLOGIE DES DATES					
"In French there are 3 ways to write the word for ""year"": ""année"" (the full form), ""an"" (short form) & ""a"" (narrow form). In English, there are also 3 forms: ""Year"", ""Yr."" (with a period) & ""Yr"" (no period). Does your language have the same abbreviations? Fewer? More? Please translate these into your language. If your language doesn't have a translation for all the translations, write ""DOES NOT EXIST"". If you have MORE abbreviations, please add NOTES in the NOTES column. 
En français, il existe trois façons d’écrire le mot « année » : « année » (forme complète), « an » (forme courte) et « a » (forme abrégée). En anglais, on en trouve également trois formes : « Year », « Yr. » (avec point) et « Yr » (sans point). Votre langue possède-t-elle les mêmes abréviations ? En possède-t-elle moins ? Ou plus ? Veuillez traduire ces formes dans votre langue. Si votre langue ne propose pas de traduction pour l’une de ces formes, écrivez « N’EXISTE PAS ». Si vous avez PLUS d’abréviations, veuillez ajouter des NOTES dans la colonne reservée à cet effet."					
ENGLISH	FRENCH	Correction (if necessary/si nécessaire)			
era	ère	sasa		//ldml/dates/fields/field[@type="era"]/displayName	dw-1_XXX
year	année	yʋʋmde		//ldml/dates/fields/field[@type="year"]/displayName	dw-2_XXX
yr	a	ym	The term yʋm with the vowel may lead to confusing it with another Moore term.	//ldml/dates/fields/field[@type="year-short"]/displayName	dw-3_XXX
y	an	y		//ldml/dates/fields/field[@type="year-narrow"]/displayName	dw-4_XXX
quarter	trimestre	ki-tãabre		//ldml/dates/fields/field[@type="quarter"]/displayName	dw-5_XXX
qtr.	trim.	ki-tã. 		//ldml/dates/fields/field[@type="quarter-short"]/displayName	dw-6_XXX
qtr	trim.	ki-tã. 		//ldml/dates/fields/field[@type="quarter-narrow"]/displayName	dw-7_XXX
month	mois	kiuugu		//ldml/dates/fields/field[@type="month"]/displayName	dw-8_XXX
mo.	m.	kiu.		//ldml/dates/fields/field[@type="month-short"]/displayName	dw-9_XXX
m	m.	k. 		//ldml/dates/fields/field[@type="month-narrow"]/displayName	dw-10_XXX
week	semaine	rasem a yopoe	The term rasm a yopoe has a spelling mistake, the letter e is missing between s and m.	//ldml/dates/fields/field[@type="week"]/displayName	dw-11_XXX
wk.	sem.	ry.	The term sɩm. can't exactly reflect to the stated abbreviation, it seems more coherent to take the first letter of each word, combine them to express the abbreviation. 	//ldml/dates/fields/field[@type="week-short"]/displayName	dw-12_XXX
wk	sem.	ry.	The term sɩm. can't exactly reflect to the stated abbreviation, it seems more coherent to take the first letter of each word, combine them to express the abbreviation. 	//ldml/dates/fields/field[@type="week-narrow"]/displayName	dw-13_XXX
day	jour	raare		//ldml/dates/fields/field[@type="day"]/displayName	dw-14_XXX
d	j	r		//ldml/dates/fields/field[@type="day-short"]/displayName	dw-15_XXX
hour	heure	wakato		//ldml/dates/fields/field[@type="hour"]/displayName	dw-16_XXX
hr	h	wk		//ldml/dates/fields/field[@type="hour-narrow"]/displayName	dw-17_XXX
minute	minute	miniti		//ldml/dates/fields/field[@type="minute"]/displayName	dw-18_XXX
min	min	mn		//ldml/dates/fields/field[@type="minute-narrow"]/displayName	dw-19_XXX
second	seconde	sɩgonde		//ldml/dates/fields/field[@type="second"]/displayName	dw-20_XXX
sec.	s	s		//ldml/dates/fields/field[@type="second-short"]/displayName	dw-21_XXX
sec	s	s		//ldml/dates/fields/field[@type="second-narrow"]/displayName	dw-22_XXX
day of the week	jour de la semaine	rasem a yopoe raar a yembre 	The term rasm has a spelling mistake, the letter e is missing between s and m.	//ldml/dates/fields/field[@type="weekday"]/displayName	dw-23_XXX
"In English there are 2 ways to write the words ""AM"" and ""PM"": ""AM"" and ""PM"" (the full form), or ""a"" (short form) & ""p"" (narrow form). If your language doesn't have a translation for all the translations, write ""DOES NOT EXIST"". If you have MORE abbreviations, please add NOTES in the NOTES column. 
En anglais, il existe deux manières d’écrire les expressions « AM » et « PM » : « AM » et « PM » (forme complète), ou « a » (forme courte) et « p » (forme abrégée). Si votre langue ne propose pas de traduction pour certaines de ces formes, saisissez « N’EXISTE PAS ». Si vous avez PLUS d’abréviations, veuillez ajouter des NOTES dans la colonne reservée à cet effet."					
AM	AM	yib		//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="stand-alone"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="am"]	dw2-1_XXX
a	AM	yib		//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="format"]/dayPeriodWidth[@type="narrow"]/dayPeriod[@type="am"]	dw2-2_XXX
PM	PM	zab		//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="stand-alone"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="pm"]	dw2-3_XXX
p	PM	zab		//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="format"]/dayPeriodWidth[@type="narrow"]/dayPeriod[@type="pm"]	dw2-4_XXX
morning	matin	yibeoogo		//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="stand-alone"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="morning1"]	dw2-5_XXX
in the morning	du matin	yibeoog wakato		//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="format"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="morning1"]	dw2-6_XXX
7 in the morning	7 du matin	yibeoog wakat a 7		//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="format"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="morning1"]	dw2-7_XXX
afternoon	après-midi	wĩntoogo		//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="stand-alone"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="afternoon1"]	dw2-8_XXX
in the afternoon	de l’après-midi	zaabr wakato		//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="format"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="afternoon1"]	dw2-9_XXX
1 in the afternoon	1 de l’après-midi	wĩntoog wakat a 1	There is a spelling mistake related to the term wintoog in which the letter i should be ĩ	//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="format"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="afternoon1"]	dw2-10_XXX
evening	soir	zaabre		//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="stand-alone"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="evening1"]	dw2-11_XXX
in the evening	du soir	zaabr wakato		//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="format"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="evening1"]	dw2-12_XXX
9 in the evening	9 du soir	yʋng wakat a 9		//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="format"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="evening1"]	dw2-13_XXX
night	nuit	yʋngo		//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="stand-alone"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="night1"]	dw2-14_XXX
at night	à la nuit	yʋng wakato 		//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="format"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="night1"]	dw2-15_XXX
midnight	minuit	yʋʋn-sʋka	The vowel ʋ shouldn't be doubled but should be kept a single ʋ	//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="stand-alone"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="midnight"]	dw2-16_XXX
DAYS OF THE WEEK / JOURS DE LA SEMAINE					
"In English there are 4 ways to write the days of the week: full form, medium abbreviation, short abbreviation, and shortest abbreviation. Does your language have the same 4 forms? If yes, please enter them in Column B. If your language has LESS than 4 forms, you can leave cells blank or write ""DOES NOT HAVE."" If your language as MORE than 4 forms, please add them to the bottom, and provide an explanation in the NOTES column, and if so, how do you write them in your language? (See VISUAL EXAMPLES to understand the Abbreviations better.) 
En anglais, il existe quatre façons d’écrire les jours de la semaine : forme complète, abréviation moyenne, abréviation courte et abréviation la plus courte. Toutes ces quatre formes existent-elles dans votre langue ? Si oui, veuillez les indiquer dans la colonne B. Si votre langue a MOINS de quatre formes, vous pouvez laisser des cellules vides ou saisir « N’EXISTE PAS ». Si votre langue en a PLUS, veuillez les ajouter en bas et fournir une explication dans la colonne des notes, puis le cas échéant, indiquer comment on les écrit dans votre langue. (Consultez les EXEMPLES VISUELS pour mieux comprendre les types d'abréviations.)                                               "					
