BCP	endonym	en	fr	it	es	pt
abr	Bono	Abron	abron	abron	abrón	abron
aa	Afar-af	Afar	afar	afar	afar	afar
any	Anyi	Anyin	anyin	anyin	anyin	anyin
awn	አውጚ	Awngi	awngi	awngi	awngi	awngi
az	Azərbaycan	Azerbaijani	azerbaïdjanais	azero	azerbaiyano	azerbaijano
bgp	سلئیمانی بلۏچی	Eastern Balochi	baloutche oriental	balochi orientale	baluchis orientales	balúchi oriental
bcc	مکرانی	Southern Balochi	baloutche méridional	balochi meridionale	baluchis del sur	balúchi do sul
bgn	رخشانی	Western Balochi	baloutche occidental	baluchi occidentali	baluchis occidentales	balúchi ocidental
bm	Bamanankan	Bambara	bambara	bambara	bambara	bambará
bax-Latn	Shüpamom	Bamun (Latin)	bamoun (latin)	bamun (latino)	bamun (latín)	bamun (latim)
bax-Bamu	ꚶꛉ꛰꛲ꚫꛦꚳ	Bamun (Bamun script)	bamoun (bamoun)	bamun (bamun)	bamun (bamun)	bamun (bamun)
bci	Wawle	Baoulé	baoulé	baoulé	baoulé	baoulé
bem	ichibemba	Bemba	bemba	bemba	bemba	bemba
zag	Beṛia	Zaghawa	zaghawa	zaghawa	zaghawa	zaghawa
bho	भोजपुरी	Bhojpuri	bhodjpouri	bhojpuri	bhojpuri	bhojpuri
byn	ብሊን	Bilin	bilen	bilin	bilín	bilin
bs	bosanski	Bosnian	bosniaque	bosniaco	bosnio	bósnio
ceb	Cebuano	Cebuano	cebuano	cebuano	cebuano	cebuano
nya	Chichewa	Chichewa	chichewa	chichewa	chichewa	chichewa
cgg	Rukiga	Chiga	tchiga	chiga	chiga	chiga
dag	Dagbanli	Dagbani	dagbani	dagbani	dagbani	dagbani
ada	Dangbe	Dangme	adangme	adangme	dangme	droga
luo	Dholuo	Dholuo	luo	dholuo	dholuo	dholuo
din	Thuɔŋjäŋ	Dinka	dinka	dinka	dinka	dinka
dua	duálá	Duala	douala	duala	duala	duala
dyu	Julakan	Dyula	dioula	dyula	diula	dyula
en	English	English	anglais	inglese	inglés	inglês
ee	Eʋegbe	Ewe	éwé	ewe	ewé	jeje
ewo	ewondo	Ewondo	éwondo	ewondo	ewondo	ewondo
fo	føroyskt	Faroese	féroïen	faroese	feroés	feroês
fil	Filipino	Filipino	filipino	filippino	filipino	filipino
fon	fɔ̀ngbè	Fon	fon	fon	fon	fon
ful	Fulfulde	Fulah	peul	fulah	fulá	fulá
gaa	Gã	Ga	ga	ga	ga	gá
lg	Luganda	Ganda	ganda	ganda	ganda	ganda
guw	Gungbe	Gun	gun	gun	gun	gun
ha	Hausa	Hausa	haoussa	hausa	hausa	hauçá
ior	Ennemor	Inor	inor	inor	inor	inor
dyo	kujóolay	Jola-Fonyi	diola-fogny	jola-fonyi	jola-fonyi	jola-fonyi
kab	Taqbaylit	Kabyle	kabyle	cabilia	cabila	cabila
kln	Kalenjin	Kalenjin	kalendjin	kalenjin	kalenjin	kalenjin
kam	Kikamba	Kamba	kamba	kamba	kamba	kamba
knc	Yerwá Kànùrí	Central Kanuri	kanouri central	kanuri centrale	kanuri central	centro de kanuri
kon	Kikongo	Kongo	kongo	congo	congo	congo
